ID,Name,spacegroup,a,b,c,alpha,beta,gamma,volume,volume/atom,band_gap,density,e_above_hull,e_above_hull/atom,efermi,energy,energy/atom,final_energy_per_atom,formation_energy_per_atom,nelements,nsites
mp-18536,AgF3,178,5.195540323565972,5.195540323565972,15.42981,90.0,90.0,120.00000412025521,360.70538962992487,15.029391234580203,0.20719999999999983,4.5537794582091085,0.0,0.0,-2.51139532,-74.68633849,-3.1119307704166665,-3.1119307704166665,-1.3383859058925,2,24
mp-20305,InAs,216,4.370965011555458,4.370965011555458,4.370965011555458,60.00000000000001,60.00000000000001,60.00000000000001,59.04960440129051,29.524802200645254,0.3049999999999997,5.335683811527306,0.0,0.0,3.87808466,-7.86812719,-3.934063595,-3.934063595,-0.2289677000000001,2,2
mp-20351,InP,216,4.212041348270218,4.212041348270218,4.212041348270218,60.00000000000001,60.00000000000001,60.00000000000001,52.840008616696146,26.420004308348073,0.46640000000000015,4.5816214404051765,0.0,0.0,4.71937367,-8.57657251,-4.288286255,-4.288286255,-0.20580145928571447,2,2
mp-20411,InN,216,3.573754441669433,3.573754441669433,3.573754441669433,60.00000000000001,60.00000000000001,60.00000000000001,32.27447054997356,16.13723527498678,0.038000000000000256,6.628100893608626,0.009815832499999289,0.004907916249999644,6.06194398,-10.86523947,-5.432619735,-5.432619735,-0.08054177619000047,2,2
mp-2114,YN,225,3.4783289673347464,3.4783289673347464,3.4783289673347464,60.00000000000001,60.00000000000001,60.00000000000001,29.757535668717757,14.878767834358879,0.28580000000000005,5.74275745212572,0.0,0.0,4.11017145,-18.17665808,-9.08832904,-9.08832904,-1.8790556178566664,2,2
mp-2175,TlF,225,4.017401721467247,4.017401721467247,4.017401721467247,60.00000000000001,60.00000000000001,60.00000000000001,45.84804124642541,22.924020623212705,2.3991999999999996,8.090510190687077,0.035856360000000365,0.017928180000000182,1.76352135,-7.67401327,-3.837006635,-3.837006635,-1.9459051080949998,2,2
mp-22865,CsCl,221,4.209055,4.209055,4.209055,90.0,90.0,90.0,74.56822445456186,37.28411222728093,5.4829,3.7491275756820572,0.04776625499999998,0.02388312749999999,-0.53246409,-6.54430243,-3.272151215,-3.272151215,-2.1975245405955173,2,2
mp-22867,RbBr,225,4.969496960704372,4.969496960704372,4.969496960704372,60.00000000000001,60.00000000000001,60.00000000000001,86.78052839266779,43.390264196333895,4.3724,3.1643773032979565,0.0,0.0,-1.99985372,-6.14063053,-3.070315265,-3.070315265,-1.76158495875,2,2
mp-22875,TlBr,221,4.05712,4.05712,4.05712,90.0,90.0,90.0,66.78109869790414,33.39054934895207,2.3615,7.068918855673896,0.04514846000000006,0.02257423000000003,1.6974615,-5.67672651,-2.838363255,-2.838363255,-0.8390735249999999,2,2
mp-22899,LiI,225,4.260813331395779,4.260813331395779,4.260813331395779,60.00000000000001,60.00000000000001,60.00000000000001,54.69687644864823,27.348438224324116,4.2402999999999995,4.063406290322655,0.03653280250000934,0.01826640125000467,1.78249667,-5.82549309,-2.912746545,-2.912746545,-1.1962805858333334,2,2
mp-22903,RbI,225,5.294710925721252,5.294710925721252,5.294710925721252,59.99999999999999,59.99999999999999,59.99999999999999,104.95708590502805,52.478542952514026,3.9541000000000004,3.3599680093693327,0.0,0.0,-0.90795279,-5.51720219,-2.758601095,-2.758601095,-1.50632952625,2,2
mp-22906,CsBr,221,4.393019,4.393019,4.393019,90.0,90.0,90.0,84.77918647335062,42.38959323667531,4.7786,4.1682212736585305,0.040382290000000154,0.020191145000000077,-0.58252113,-6.02336268,-3.01168134,-3.01168134,-1.7455168839655173,2,2
mp-22922,AgCl,225,3.9756343381161203,3.9756343381161203,3.9756343381161203,60.00000000000001,60.00000000000001,60.00000000000001,44.4328633677782,22.2164316838891,1.2003,5.356180845292489,0.0,0.0,1.35793708,-5.53483498,-2.76741749,-2.76741749,-0.7242274732966671,2,2
mp-22925,AgI,216,4.695848050598742,4.695848050598742,4.695848050598742,60.00000000000001,60.00000000000001,60.00000000000001,73.21955895634991,36.60977947817496,1.7236,5.324385940884999,0.0,0.0,1.24722476,-4.91777993,-2.458889965,-2.458889965,-0.28062090416666674,2,2
mp-23167,TlCl,221,3.900812,3.900812,3.900812,90.0,90.0,90.0,59.3560592748602,29.6780296374301,2.5887000000000002,6.709635892345644,0.04686129500000025,0.023430647500000124,2.07060936,-6.15144586,-3.07572293,-3.07572293,-1.26797098163,2,2
mp-23197,TlI,221,4.287598,4.287598,4.287598,90.0,90.0,90.0,78.82104329634488,39.41052164817244,2.2503,6.979307319030446,0.05222915000000006,0.02611457500000003,2.64264761,-5.14427259,-2.572136295,-2.572136295,-0.6293053024999999,2,2
mp-23231,AgBr,225,4.1377258397810746,4.1377258397810746,4.1377258397810746,60.00000000000001,60.00000000000001,60.00000000000001,50.0922035521385,25.04610177606925,0.7946,6.224582901346875,0.03729415000000014,0.01864707500000007,1.20429166,-5.12952725,-2.564763625,-2.564763625,-0.33003582666666675,2,2
mp-23295,RbCl,225,4.736715994124199,4.736715994124199,4.736715994124199,60.00000000000001,60.00000000000001,60.00000000000001,75.14793306985507,37.573966534927536,5.0161999999999995,2.671979177096913,0.0,0.0,-2.06451335,-6.70479025,-3.352395125,-3.352395125,-2.23520260038,2,2
mp-23299,RbCl,221,3.996379,3.996379,3.996379,90.0,90.0,90.0,63.82634929221475,31.913174646107375,4.7979,3.145937604001693,0.061304460000000116,0.030652230000000058,-0.9681282,-6.58218133,-3.291090665,-3.291090665,-2.17389814038,2,2
mp-23302,RbI,221,4.487542,4.487542,4.487542,90.0,90.0,90.0,90.37026979031045,45.18513489515522,3.9656,3.9023060550311066,0.04972367000000011,0.024861835000000054,0.24389159,-5.41775485,-2.708877425,-2.708877425,-1.45660585625,2,2
mp-23303,RbBr,221,4.201818,4.201818,4.201818,90.0,90.0,90.0,74.18425021057112,37.09212510528556,4.5276,3.7016797181948324,0.05522251000000011,0.027611255000000057,-1.02886779,-6.03018551,-3.015092755,-3.015092755,-1.70636244875,2,2
mp-23703,LiH,225,2.828550161326117,2.828550161326117,2.828550161326117,60.00000000000001,60.00000000000001,60.00000000000001,16.002088090829318,8.001044045414659,3.1751,0.824862688740225,0.0,0.0,-1.01726434,-6.11370046,-3.05685023,-3.05685023,-0.482520472643333,2,2
mp-24721,RbH,225,4.268803638023187,4.268803638023187,4.268803638023187,60.00000000000001,60.00000000000001,60.00000000000001,55.00517316325,27.502586581625,3.2016999999999998,2.6105970825137534,0.0,0.0,-1.17930784,-4.66761821,-2.333809105,-2.333809105,-0.22367373805999957,2,2
mp-2490,GaP,216,3.893542069247487,3.893542069247487,3.893542069247487,60.00000000000001,60.00000000000001,60.00000000000001,41.73684503376176,20.86842251688088,1.6843000000000004,4.006314014532294,0.0,0.0,3.38832024,-9.25860923,-4.629304615,-4.629304615,-0.4086167242857135,2,2
