pf_log,T,density,ave:en_allen,ave:vdw_radius,sum:num_unfilled,var:boiling_point,var:hhi_p,var:num_unfilled,var:num_p_unfilled,var:num_s_unfilled,var:num_s_valence,max:hhi_p,max:num_unfilled,max:num_p_unfilled,max:num_s_unfilled,min:electron_affinity,min:lattice_constant,min:num_s_valence,DC1,PC2,SC4
0.767,1000,6.949384388,8.6015,212,8,3010225,810000,16,0,0,0,3400,8,0,0,0.426,2.66,2,14.37875364,0.279947467,1099.345267
0.822,800,7.068918856,14.26019502,190.5,6,488670.9025,2560000,4,4,0,0,6500,5,5,0,0.377,3.46,2,12.65832365,0.284379143,1495.936012
0.834,500,4.249038612,8.924,270.5,2,61033.7025,302500,0,0.25,0.25,0.25,6000,1,1,1,0.471626,6.05,1,14.38435241,0.015580834,1142.25039
0.84,800,5.68673269,12.3805,193.5,12,3121582.24,18062500,9,2.25,0,0,9800,9,3,0,-1.4,3.65,2,12.76319674,1,1434.920368
0.853,600,7.229507537,11.25801001,197.5,14,3436574.44,16810000,16,2.25,0,0,9500,11,3,0,-1.4,3.67,2,13.51289186,1,1613.234548
0.855,1000,6.05014633,13.29519502,197,6,404814.0625,640000,4,4,0,0,6500,5,5,0,0.377,3.46,2,13.17603781,0.067424016,1409.010653
0.938,600,6.786981166,10.95262313,199,12,3335371.69,16810000,9,2.25,0,0,9500,9,3,0,-1.4,3.75,2,13.17677274,1,1557.182215
0.963,700,4.553779458,21.3625,163,24,1079991,16875,0,0.1875,0.1875,0.1875,1500,1,1,1,1.302,4.09,1,14.5077599,0.011551494,974.1227149
0.999,700,4.60189752,12.3805,193.5,12,3121582.24,18062500,9,2.25,0,0,9800,9,3,0,-1.4,3.65,2,12.48471655,1,1536.871633
1.013,900,2.355668427,12.3165,166.5,2,1594128.458,13322500,1,1,0,0,8000,2,2,0,-2.4,2.29,2,13.17665813,1,1678.483069
1.024,900,5.68673269,12.3805,193.5,12,3121582.24,18062500,9,2.25,0,0,9800,9,3,0,-1.4,3.65,2,12.99876281,1,1355.624939
1.027,500,5.320322249,12.5,204.5,2,1027689.063,3422500,0,0.25,0.25,0.25,4900,1,1,1,1.302,4.09,1,13.62659537,0.225240048,1172.846952
1.031,900,8.356280164,12.65796096,195.5,11,986644.89,16810000,6.25,2.25,0,0,9500,8,3,0,-1.4,4.039,2,14.52822623,1,1303.226585
1.033,700,5.150549586,11.429,196.5,12,50625,2102500,4,4,0,0,3400,8,4,0,0.426,3.23,2,13.16417809,1.063365275,4211.710046
1.131,900,6.709635892,14.80519502,185.5,6,556068.49,6250000,4,4,0,0,6500,5,5,0,0.377,3.46,2,11.5792227,0.675886357,1407.172255
1.16,500,5.324385941,12.5,204.5,2,1027689.063,3422500,0,0.25,0.25,0.25,4900,1,1,1,1.302,4.09,1,13.62536744,0.225240048,1172.846952
1.282,800,6.819963595,12.98519502,188,8,346332.25,5062500,1,1,0,0,6500,5,5,0,0.377,3.46,2,11.95142501,0.699081011,1445.443446
