,ID,pf_log,var:boiling_point,var:num_p_unfilled,var:num_s_unfilled,var:num_s_valence,max:num_unfilled,min:electron_affinity,min:lattice_constant
121,mp-1138,0.359834982,266844.5649,0.25,0.25,0.25,1,0.618049,3.49
122,mp-10759,3.550843831,1150149.003,1.0,0.0,0.0,4,1.232712,4.36
123,mp-1057286,4.129128569,216839.2356,0.0,0.0,0.0,1,0.471626,3.75
124,mp-1056920,4.347861278,61033.7025,0.25,0.25,0.25,1,0.471626,6.05
125,mp-1009894,0.155072802,50625.0,4.0,0.0,0.0,8,0.426,3.23
126,mp-1009792,0.206309588,214832.25,4.0,0.25,0.25,4,1.05,2.7
127,mp-1009750,6.764497484,2290076.89,2.25,0.0,0.0,9,-1.4,3.31
128,mp-1009746,5.824416041,1626900.25,2.25,0.0,0.0,9,0.188,3.31
129,mp-1009639,2.682805144,3436574.44,2.25,0.0,0.0,11,-1.4,3.67
130,mp-1009540,8.410577757,10000.0,4.0,0.0,0.0,4,1.1,2.74
131,mp-1007778,3.981183368,682771.69,1.0,0.0,0.0,5,-1.4,3.46
132,mp-1007776,-0.20799311,346332.25,1.0,0.0,0.0,5,0.377,3.46
133,mp-1002124,6.851519151,34225.0,4.0,0.0,0.0,8,0.014,3.2
134,mp-998899,0.840462951,3121582.24,2.25,0.0,0.0,9,-1.4,3.65
135,mp-938,6.678815075,846400.0,1.0,0.0,0.0,4,1.232712,4.45
136,mp-866291,4.813031834,1158959.903,0.25,0.25,0.25,1,1.302,4.09
137,mp-830,-7.885318993,1688180.49,1.0,0.0,0.0,5,-1.4,4.039
138,mp-749,1.531419875,986644.89,2.25,0.0,0.0,8,-1.4,4.039
139,mp-708,-0.885724812,2036329.0,2.25,0.0,0.0,9,0.47,3.75
140,mp-684580,3.744273682,1027689.063,0.25,0.25,0.25,1,1.302,4.09
141,mp-632319,1.493999945,216839.2356,0.0,0.0,0.0,1,0.471626,3.75
142,mp-614603,4.304453269,61033.7025,0.25,0.25,0.25,1,0.471626,6.05
143,mp-573697,5.170591572,127092.25,0.25,0.25,0.25,1,0.471626,6.05
144,mp-571222,6.076076185,96007.0225,0.25,0.25,0.25,1,0.471626,6.05
145,mp-571102,-1.64878753,404814.0625,4.0,0.0,0.0,5,0.377,3.46
