,descriptor_name,pearson_correlation,pearson_pvalue,pearson_selection,spearman_correlation,spearman_pvalue,spearman_selection,distance_correlation,distance_selection,mic_correlation,mic_selection,sum_1,sum_2,sum_3,sum_4,sum
239,max:vdw_radius_alvarez,0.09390010597429783,0.0599737431377622,0,0.008883058001021139,0.8590735200880493,0,0.2244498544254341,0,0.38650354565364403,1,1,0,0,0,1
240,max:vdw_radius_mm3,0.11676373979056567,0.019189383901346363,0,-0.013526176211943523,0.7868780254495402,0,0.25853239738651507,0,0.3943523170384724,1,1,0,0,0,1
241,max:vdw_radius_uff,0.05934677979234762,0.23513270492296534,0,0.2054996789468346,3.2984121169850854e-05,0,0.2580522408514924,0,0.330393870250365,1,1,0,0,0,1
242,max:sound_velocity,0.05052301277147582,0.3122680780851757,0,0.16237745066839318,0.001086058874227475,0,0.176728903821556,0,0.22798546676037712,1,1,0,0,0,1
243,max:Polarizability,0.12105863011110019,0.015157330900075148,0,0.05845428070038203,0.24226052603219128,0,0.22352448156404484,0,0.3813715429648222,1,1,0,0,0,1
244,min:atomic_number,0.07742371630813669,0.12118136755061132,0,0.08179699760259643,0.10149200356079399,0,0.19655353484255075,0,0.18756404570829652,1,1,0,0,0,1
245,min:atomic_radius,0.13457892202645177,0.0068882360805150675,0,0.10750195783628114,0.03116619959867258,0,0.2133766126310345,0,0.20022234078210893,1,1,0,0,0,1
246,min:atomic_radius_rahm,0.136915322027241,0.005967623581694662,0,0.20802799268252017,2.62191589416189e-05,0,0.2582169916727535,0,0.19952020738971887,1,1,0,0,0,1
247,min:atomic_volume,0.05087834871250825,0.3088726681799762,0,-0.00605537425000596,0.9036649554871667,0,0.22521936594145783,0,0.30413555753825855,1,1,0,0,0,1
248,min:atomic_weight,0.07400070794914523,0.13857438476486908,0,0.08179699760259643,0.10149200356079399,0,0.19391889367389645,0,0.18756404570829652,1,1,0,0,0,1
249,min:boiling_point,0.09133552500844677,0.06734052045522879,0,0.22727619269665778,4.163288072221367e-06,0,0.1944936312138384,0,0.25300081950770037,1,1,0,0,0,1
250,min:bulk_modulus,-0.1064476093462247,0.03286835976172636,0,-0.07586468498773682,0.1288796367988755,0,0.202218711055938,0,0.22424318140219057,1,1,0,0,0,1
251,min:c6_gb,0.13935354673013006,0.0051261309728941615,0,0.19570722149760353,7.816412177212737e-05,0,0.2344725943646277,0,0.19952020738971887,1,1,0,0,0,1
252,min:covalent_radius_cordero,0.11026981349968838,0.0270521746559422,0,0.1690261302696502,0.0006666821260580461,0,0.24810002801498376,0,0.18974272996478822,1,1,0,0,0,1
253,min:covalent_radius_pyykko,0.11730609998097925,0.018633426590274598,0,0.18172683577334361,0.0002494640629039433,0,0.2514562261857103,0,0.18974272996478822,1,1,0,0,0,1
254,min:covalent_radius_pyykko_double,0.1758428800828846,0.00039665445728403033,1,0.18030606916830405,0.00027939372642913057,0,0.2882198059012108,0,0.18262806098294687,1,1,1,0,0,2
255,min:covalent_radius_pyykko_triple,0.18508909652839345,0.00019014528921654464,1,0.2302129516795646,3.098550321428667e-06,0,0.2929905687546788,0,0.19940696699938262,1,1,1,0,0,2
256,min:covalent_radius_slater,0.11394624831162146,0.0223158936336014,0,0.17817938166887246,0.0003305127175173524,0,0.24412716359775172,0,0.19486216906296783,1,1,0,0,0,1
257,min:density,0.05692838943182808,0.2547948736473971,0,0.10221308387985695,0.04052552366801894,0,0.13326655300750995,0,0.2084954083703965,1,1,0,0,0,1
258,min:dipole_polarizability,0.16034939691457137,0.0012558505635935635,0,0.20965454877474077,2.258624461627534e-05,0,0.24990297790687357,0,0.21215931945361985,1,1,0,0,0,1
259,min:electron_negativity,-0.05901566118784802,0.2377596815650788,0,0.006101236405956355,0.9029389164192584,0,0.25020807545140167,0,0.355353296713456,1,1,0,0,0,1
260,min:electron_affinity,0.22448624675402984,5.49201363920452e-06,1,0.39729972391445817,1.1861184802052413e-16,1,0.3052326043780761,1,0.42221820526878207,1,1,1,1,1,4
261,min:en_allen,-0.116160874990553,0.019824262434837425,0,-0.1537775369435219,0.0019878576611663144,0,0.212013518416413,0,0.3889411853572002,1,1,0,0,0,1
262,min:en_pauling,-0.08135949241256098,0.10333959168342657,0,-0.028345733272331936,0.5709354621077974,0,0.21353917314041418,0,0.355353296713456,1,1,0,0,0,1
263,min:first_ion_en,-0.022625768144124474,0.6510596937237977,0,-0.04040342113308327,0.419151909116788,0,0.28719847756837497,0,0.4129797147245244,1,1,0,0,0,1
