,elem1,elem2,elem3,elem4,comp1,comp2,comp3,comp4,melt_point
857,Ba,In,O,Vac,27.27272727272727,18.181818181818183,54.54545454545454,0.0,2228.106689453125
858,Ba,Mn,Mo,O,20.0,10.0,10.0,60.0,1532.7200927734375
859,Lu,V,O,Vac,18.181818181818183,18.181818181818183,63.63636363636363,0.0,1904.1431884765625
860,Ti,Pb,O,Vac,20.0,20.0,60.0,0.0,1176.14599609375
861,Sr,Pb,O,Vac,20.0,20.0,60.0,0.0,1422.6854248046875
862,Ba,In,O,Vac,22.22222222222222,22.22222222222222,55.55555555555556,0.0,2167.10009765625
863,Mn,Sn,O,Vac,20.0,20.0,60.0,0.0,1776.4385986328125
864,Sr,Ni,Pb,O,27.27272727272727,9.090909090909092,9.090909090909092,54.54545454545454,1505.6441650390625
865,K,Pb,O,Vac,28.57142857142857,28.57142857142857,42.857142857142854,0.0,1061.80517578125
866,Y,Mn,O,Vac,20.0,20.0,60.0,0.0,1894.303466796875
867,Sb,Pb,O,Vac,22.22222222222222,11.11111111111111,66.66666666666666,0.0,1292.7008056640625
868,Ba,Mn,Re,O,20.0,10.0,10.0,60.0,1153.8861083984375
869,Ce,B,O,Vac,20.0,20.0,60.0,0.0,1560.922607421875
870,Ba,Mn,Nb,O,20.0,6.666666666666667,13.333333333333334,60.0,1688.6121826171875
871,In,Cu,O,Vac,25.0,25.0,50.0,0.0,1511.30859375
872,Sr,Pb,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,1660.78466796875
873,Sn,O,Vac,Vac,50.0,50.0,0.0,0.0,1238.4775390625
874,Na,Nd,Ti,O,14.285714285714285,14.285714285714285,14.285714285714285,57.14285714285714,1756.0435791015625
875,Cr,Hg,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,1152.190185546875
876,In,Ga,Pt,O,35.294117647058826,11.76470588235294,5.88235294117647,47.05882352941176,1314.24365234375
877,Cr,B,Pb,O,14.285714285714285,14.285714285714285,14.285714285714285,57.14285714285714,881.2105102539062
878,Ca,Pb,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,1638.662841796875
879,Sr,Fe,O,Vac,25.0,25.0,50.0,0.0,2002.402587890625
880,Cs,Pb,O,Vac,33.33333333333333,16.666666666666664,50.0,0.0,1004.3209228515625
881,O,Co,Ba,Er,55.55555555555556,11.11111111111111,11.11111111111111,22.22222222222222,2050.79638671875
882,Zn,O,Vac,Vac,50.0,50.0,0.0,0.0,2112.383056640625
883,Cd,Fe,O,Vac,14.285714285714285,28.57142857142857,57.14285714285714,0.0,556.8168334960938
884,Cr,Te,O,Vac,22.22222222222222,11.11111111111111,66.66666666666666,0.0,662.2464599609375
885,Sb,O,Vac,Vac,40.0,60.0,0.0,0.0,1110.847900390625
886,Fe,Te,O,Vac,22.22222222222222,11.11111111111111,66.66666666666666,0.0,1024.5106201171875
887,Pb,O,Vac,Vac,42.857142857142854,57.14285714285714,0.0,0.0,1089.664794921875
888,Rb,Pb,O,Vac,33.33333333333333,16.666666666666664,50.0,0.0,1010.564453125
889,Rb,Pb,O,Vac,33.33333333333333,16.666666666666664,50.0,0.0,1010.564453125
890,Cs,Pb,O,Vac,33.33333333333333,16.666666666666664,50.0,0.0,1004.3209228515625
891,Ca,V,P,O,7.142857142857142,14.285714285714285,14.285714285714285,64.28571428571429,1180.299560546875
892,Ba,Nb,O,Vac,4.3478260869565215,34.78260869565217,60.86956521739131,0.0,1951.873046875
893,Ba,La,In,O,8.333333333333332,16.666666666666664,16.666666666666664,58.333333333333336,2109.347412109375
894,O,Na,Co,Vac,40.0,50.0,10.0,0.0,1233.460693359375
895,Rb,Pb,O,Vac,50.0,12.5,37.5,0.0,989.0191040039062
896,Mn,Pb,O,Vac,14.285714285714285,28.57142857142857,57.14285714285714,0.0,1121.9122314453125
897,Ce,Se,O,Vac,9.090909090909092,18.181818181818183,72.72727272727273,0.0,1600.3719482421875
898,Ba,Ce,Pt,O,20.0,10.0,10.0,60.0,1647.6571044921875
899,O,Na,W,Vac,63.63636363636363,18.181818181818183,18.181818181818183,0.0,929.54296875
900,Ce,S,O,Vac,9.090909090909092,18.181818181818183,72.72727272727273,0.0,1910.79345703125
901,K,Pb,O,Vac,50.0,12.5,37.5,0.0,979.0744018554688
902,Ca,Fe,Ge,O,15.0,10.0,15.0,60.0,1561.2242431640625
903,Na,Ni,O,Vac,50.0,10.0,40.0,0.0,1271.06396484375
904,Rb,Fe,Se,O,8.333333333333332,8.333333333333332,16.666666666666664,66.66666666666666,965.2621459960938
905,V,S,O,Vac,14.285714285714285,14.285714285714285,71.42857142857143,0.0,579.93115234375
906,Ca,Fe,O,Vac,22.22222222222222,22.22222222222222,55.55555555555556,0.0,1941.2340087890625
907,Dy,Co,O,Vac,20.0,20.0,60.0,0.0,2018.1966552734375
908,Li,Pb,O,Vac,44.44444444444444,11.11111111111111,44.44444444444444,0.0,1128.5816650390625
909,In,Ge,Pt,O,33.33333333333333,11.11111111111111,5.555555555555555,50.0,1301.8551025390625
910,Sm,Mn,O,Vac,20.0,20.0,60.0,0.0,1897.2017822265625
911,Mn,Sn,B,O,10.0,10.0,20.0,60.0,1443.9593505859375
912,Ce,Si,B,O,12.5,12.5,12.5,62.5,1883.234375
913,Ba,Pb,O,Vac,20.0,20.0,60.0,0.0,1363.1964111328125
914,La,Fe,B,O,5.0,15.0,20.0,60.0,1677.0416259765625
915,Cs,Sr,Nb,O,6.25,12.5,18.75,62.5,1644.6639404296875
916,Fe,Sb,O,Vac,14.285714285714285,28.57142857142857,57.14285714285714,0.0,1505.6405029296875
917,Na,Pt,O,Vac,40.0,20.0,40.0,0.0,968.11083984375
918,Sr,V,O,Vac,25.0,16.666666666666664,58.333333333333336,0.0,1228.39013671875
919,Co,O,Vac,Vac,50.0,50.0,0.0,0.0,1903.410400390625
920,Fe,Ge,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,1501.2904052734375
921,Sr,Ce,O,Vac,20.0,20.0,60.0,0.0,2379.99072265625
922,Sn,Pb,O,Vac,14.285714285714285,28.57142857142857,57.14285714285714,0.0,1142.7171630859375
923,Ce,P,O,Vac,10.0,20.0,70.0,0.0,2133.84130859375
924,Li,Pb,O,Vac,53.333333333333336,6.666666666666667,40.0,0.0,1265.94140625
925,Pr,Mn,O,Vac,20.0,20.0,60.0,0.0,1878.4833984375
