,ID,Name,T,density,ave:en_allen,ave:vdw_radius,sum:num_unfilled,var:boiling_point,var:hhi_p,var:num_unfilled,var:num_p_unfilled,var:num_s_unfilled,var:num_s_valence,max:hhi_p,max:num_unfilled,max:num_p_unfilled,max:num_s_unfilled,min:electron_affinity,min:lattice_constant,min:num_s_valence,DC1,PC2,SC4
49,mp-11651,Yb3SnO,500,10.01324892,12.04500509,209.4,6,606984.9346,15609600,2.56,2.56,0,0,9500,4,4,0,-0.02,5.49,2,10.79209482,1,1312.64772
50,mp-11652,Yb3PbO,500,11.17633398,12.08100509,206.4,6,410935.3906,15462400,2.56,2.56,0,0,9500,4,4,0,-0.02,4.95,2,13.27309375,1,1489.792536
51,mp-11659,BaTi(BO3)2,500,4.022373828,16.5801,177.5,30,2802962.607,1188900,4.8,2.56,0,0,3000,8,5,0,0.079,2.95,2,12.7243935,2.840860215,1512.36713
52,mp-1172828,WO3,500,6.79133119,18.1875,168.5,96,6394383.907,7921875,3,0.75,0,0,7000,6,2,0,0.81626,3.16,2,11.26442806,1,1809.807746
53,mp-1172871,Mn7GeO12,500,4.783353351,17.025,173.5,252,1251539.729,1184875,2.0275,1.24,0,0,5300,5,4,0,1.232712,5.66,2,14.31518339,0.350746186,902.0788426
54,mp-1173546,Nb4Pb3O13,500,6.461796777,17.1975,172.7,132,3783824.914,9801100,3.91,1.39,0.16,0.16,8500,7,4,1,0.35674316,3.3,1,10.77412758,1,1926.821563
55,mp-1176484,Na2FeO3,500,3.693792441,14.16666667,185.6666667,48,1099770.541,454722.2222,1,1,0.222222222,0.222222222,2400,4,2,1,0.151,2.87,1,12.89958022,1.509701933,1399.683178
56,mp-1176640,LiMnCrO4,500,4.028104749,15.84885714,171.5714286,40,1230943.718,1202040.816,2.979591837,0.979591837,0.204081633,0.204081633,3100,6,2,1,0.618049,2.88,1,12.98953721,1.003183762,1512.451118
57,mp-1177916,Li2MnCr3O8,500,4.000573193,15.80814286,171.6428571,164,1394585.532,1400255.102,3.352040816,0.979591837,0.229591837,0.229591837,3100,6,2,1,0.618049,2.88,1,13.00513614,1.377426312,1496.662375
58,mp-1178042,Li2CoNi3O8,500,4.736916772,16.13671429,169.3571429,108,1658110.306,955153.0612,0.209183673,0.979591837,0.12244898,0.12244898,3100,3,2,1,0.618049,2.51,1,11.45989412,0.912313178,1657.560838
59,mp-1178173,Ho2TeO2,500,8.477357087,14.34937379,194,12,1667687.127,16905600,0.24,0.96,0,0,9500,3,2,0,1.4611135,3.58,2,11.91917856,1,1948.845087
60,mp-1178175,Ho2Pb2O7,500,9.151026995,17.06607899,175.2727273,56,1416148.278,11460495.87,0.611570248,1.454545455,0,0,9500,4,4,0,0.35674316,3.58,2,13.29569179,1,1924.071411
61,mp-1178355,Er2TeO2,500,8.685684827,14.1561192,193.6,10,1875002.353,16905600,0,0.96,0,0,9500,2,2,0,1.4611135,3.56,2,12.26037498,1,1910.395068
62,mp-1178365,Dy2Pt2O7,500,10.1006279,16.9380199,177.4545455,52,2784931.524,12793388.43,0.595041322,0.925619835,0.148760331,0.148760331,9500,4,2,1,0.352,3.59,1,13.62765456,1,1888.287004
63,mp-1178446,CoPO4,500,2.773321776,18.27166667,164.6666667,112,1245651.888,1034722.222,0.222222222,0.805555556,0,0,3100,3,3,0,0.66225646,2.51,2,13.29931327,0.93025372,1787.424632
64,mp-1178513,BaSnO3,500,6.864126369,16.0162,188.2,20,1135385.8,1285600,1.6,1.6,0,0,3000,4,4,0,0.14462,5.02,2,13.25203519,1.927638583,887.8653764
65,mp-1182186,BaYMn2O5,500,5.615906122,15.48022222,185.5555556,58,1622624.195,8153580.247,6.395061728,0.987654321,0,0,9800,9,2,0,0.14462,3.65,2,12.49681177,3.448331575,2025.938351
66,mp-1185179,Li10Co4O9,500,3.289837618,12.59130435,173.3913043,80,1124028.771,1443024.575,0.540642722,0.952741021,0.245746692,0.245746692,3100,3,2,1,0.618049,2.51,1,13.03157356,1.338487435,1463.243176
67,mp-1188765,BaErMn2O5,500,6.67411175,15.59347756,185.2222222,44,1386214.35,7646172.84,2.24691358,0.987654321,0,0,9500,5,2,0,0.14462,3.56,2,10.52918153,2.792529448,1997.203261
68,mp-1188841,BaNb2V2O11,500,3.736500698,17.1860625,174.375,50,3443714.687,7101835.938,5.234375,0.859375,0.109375,0.109375,8500,7,2,1,0.14462,3.02,1,13.02822064,3.448104124,2150.976932
69,mp-1190246,Ir2Pb2O7,500,10.69427019,17.39818182,172.1818182,56,2768709.07,3711735.537,0.611570248,1.454545455,0,0,5500,4,4,0,0.35674316,3.84,2,13.66927209,2.439969248,1345.882672
70,mp-1190827,Ba2CoGe2O7,500,4.820163333,16.20016667,185.1666667,100,1718170.637,3390555.556,1.409722222,1.638888889,0,0,5300,4,4,0,0.14462,2.51,2,10.69950404,5.105158913,2227.859594
71,mp-1191117,Gd3SbO7,500,7.59630687,16.40483775,179.2727273,130,2321418.298,17289256.2,38.26446281,0.975206612,0,0,9500,16,3,0,1.046,3.64,2,8.817645092,1,2002.656896
72,mp-1191189,Cd2Sb2O7,500,6.758163189,17.36272727,173.8181818,40,511293.2057,7773223.14,0.876033058,0.876033058,0,0,7900,3,3,0,1.046,2.98,2,11.43944413,1.365652042,2252.58676
73,mp-1191317,Sr2CoGe2O7,500,4.431889669,16.28083333,182,50,1662969.762,4017222.222,1.409722222,1.638888889,0,0,5300,4,4,0,0.048,2.51,2,10.26044685,5.830511208,2196.093689
74,mp-1191364,WO3,500,6.140472737,18.1875,168.5,72,6394383.907,7921875,3,0.75,0,0,7000,6,2,0,0.81626,3.16,2,11.34707659,1,1809.807746
75,mp-1191402,GdMnGe2O7,500,5.944810395,17.2597944,175,86,2034109.883,8455371.901,15.71900826,1.454545455,0,0,9500,16,4,0,1.232712,3.64,2,13.02320531,1.224564239,2014.949296
76,mp-1191787,LiCa3OsO6,500,5.021534064,14.69736364,182.0909091,34,2277457.328,3389090.909,1.338842975,0.991735537,0.082644628,0.082644628,5500,4,2,1,0.02455,2.74,1,9.982642929,3.540561873,1872.691228
77,mp-1191811,BaZnTe2O7,500,5.777000621,17.24054545,176.8181818,36,430879.5211,1142314.05,0.595041322,0.595041322,0,0,3000,2,2,0,0.14462,2.66,2,12.28460136,2.446435333,1803.09545
78,mp-1191890,Gd3NbO7,500,7.306284905,16.09574684,180.3636364,138,3521422.326,17785123.97,37.47107438,0.925619835,0.082644628,0.082644628,9500,16,2,1,0.917406,3.3,1,11.68456604,1,2171.122376
79,mp-1192011,Sr3(CoO3)2,500,5.557001302,15.17863636,187.1818182,36,1398950.803,2766942.149,1.140495868,0.991735537,0,0,4200,3,2,0,0.048,2.51,2,12.43995178,4.683382107,1973.92974
80,mp-1193130,Na5Nd4Si4O17,500,4.459868129,15.0576405,183.8333333,95,1555637.872,9752400,7.872222222,1.622222222,0.138888889,0.138888889,9500,10,4,1,0.547926,3.66,1,13.40271779,1,1960.271281
81,mp-1193745,CeAsO4F,500,4.643819335,18.4214769,168.8571429,136,1555511.288,9490612.245,49.26530612,0.775510204,0,4.93E-32,9500,22,3,0,0.65,4.13,2,13.65522864,2.530085789,1807.993643
82,mp-1194563,SrMn2V2O8,500,4.022972178,16.56776923,176.0769231,160,1849820.292,1662840.237,4.378698225,0.946745562,0,0,4200,7,2,0,0.048,3.02,2,12.79192285,7.878892381,1641.935313
83,mp-1194612,YNb(TeO4)2,500,5.367387275,17.61425,173.1666667,144,2474715.399,10109097.22,5.166666667,0.555555556,0.076388889,0.076388889,9800,9,2,1,0.307,3.3,1,12.27091333,1,2169.958677
84,mp-1194656,MnPb2WO6,500,8.687171154,16.911,173.9,124,3210252.952,3874000,2.09,1.6,0,0,7000,6,4,0,0.35674316,3.16,2,13.4103,2.356788376,1839.475695
85,mp-1194754,Gd2SeOF2,500,7.297914963,16.34924613,184,228,2419687.552,14734722.22,46.88888889,0.666666667,0,0,9500,16,2,0,1.4611135,3.64,2,12.05306136,1,2053.857864
86,mp-1195436,Cd3BPO7,500,5.205800292,16.83041667,174.1666667,88,1117029.358,636875,1.805555556,1.805555556,0,0,2900,5,5,0,0.279723,2.98,2,11.54835173,1.270785177,1509.262475
87,mp-1195691,GdBe2B5O11,500,3.523333128,16.87651255,166.9473684,252,3231437.691,8109972.299,11.37396122,2.775623269,0,0,9500,16,5,0,-2.4,2.29,2,13.02771774,0.734474859,3121.940881
88,mp-1195767,Ca5P3O13,500,3.054148301,16.58261905,174.8095238,70,477742.3655,2025623.583,0.984126984,0.984126984,0,0,3900,3,3,0,0.02455,5.58,2,14.37088905,7.639301647,828.9303348
89,mp-1196010,Ho2Nb2S7O30,500,3.467407143,19.0467529,163.804878,188,1416432.953,6334515.17,1.182629387,0.352171327,0.046400952,0.046400952,9500,7,2,1,0.917406,3.3,1,13.64234021,1.309397787,2122.805767
90,mp-1196201,Eu5B3O9F,500,6.280740815,16.02375015,181.4444444,276,2052063.775,14780246.91,5.138888889,2.654320988,0,0,9500,7,5,0,0.279723,4.61,2,13.24486014,1,1486.559004
91,mp-1196301,La2Mn(SeO)2,500,5.798045891,12.75578464,196.4285714,248,2115736.203,13809795.92,9.387755102,0.979591837,0,0,9500,9,2,0,0.47,3.75,2,12.76023374,1,1864.869103
92,mp-1196692,Ca5V3O13,500,3.100943349,15.97304762,178.6666667,94,1652054.398,2409433.107,4.467120181,0.943310658,0,0,3900,7,2,0,0.02455,3.02,2,13.27756766,11.4909457,1601.466205
93,mp-1196943,La2Zn(SeO)2,500,5.908797516,12.62078464,195.8571429,208,2086091.995,13809795.92,11.63265306,0.979591837,0,0,9500,9,2,0,0.47,2.66,2,12.03138055,1,2748.61974
94,mp-1197371,BaNd2In2O7,500,6.859537544,15.25930063,183,176,1744497.233,10596875,9.722222222,2.5,0,0,9500,10,5,0,0.14462,3.66,2,10.56989129,1,1945.912606
95,mp-1197438,Pr3Fe5O12,500,5.643520976,16.133903,178.2,308,2540626.209,9721875,9.7275,0.96,0,0,9500,11,2,0,0.151,2.87,2,11.3769677,1,2505.141058
96,mp-1197485,Bi2W2O9,500,8.455905246,17.95230769,170.6153846,144,4362300.057,7022366.864,2.023668639,0.74556213,0,0,7000,6,3,0,0.81626,3.16,2,13.11057558,1,1841.800701
97,mp-1197728,Fe2B(PO4)3,500,3.14858209,18.31777778,164.6666667,92,1431027.089,742746.9136,0.802469136,1.098765432,0,4.93E-32,2900,5,5,0,0.151,2.87,2,13.19272262,2.393155143,1549.992993
98,mp-1198371,NdCO4,500,4.885952195,17.48121729,169.5,396,4048831.349,11250000,8.555555556,1.333333333,0,0,9500,10,4,0,1.262119,3.57,2,13.44951238,1,1871.755848
99,mp-1198513,Pr2Nb2S7O30,500,3.124270581,18.8639522,164.2926829,220,1637908.544,6334515.17,4.704342653,0.352171327,0.046400952,0.046400952,9500,11,2,1,0.917406,3.3,1,13.73946985,1.328573901,2164.321926
100,mp-1199771,Ce2Nb2S7O30,500,3.230323967,18.92465065,164.3902439,264,1611678.282,6334515.17,19.24449732,0.352171327,0.046400952,0.046400952,9500,22,2,1,0.65,3.3,1,13.63328535,1.847144204,2315.366741
101,mp-1200479,BaLuCo4O7,500,6.144113893,15.74046154,181.2307692,140,2272256.917,5953609.467,3.905325444,0.99408284,0,0,9500,9,2,0,0.14462,2.51,2,12.83553828,4.471060197,2929.320172
102,mp-1200651,BaLa2Ti3O10,500,5.438877747,15.67946828,181.6875,124,2633728.766,8640585.938,9.609375,0.9375,0,0,9500,9,2,0,0.079,2.95,2,9.813828069,7.833198005,2410.288105
103,mp-1200852,NaTi2(AsO4)3,500,3.351792862,17.61333333,168.2222222,100,1172314.208,1045555.556,3.617283951,0.805555556,0.052469136,0.052469136,3300,8,3,1,0.079,2.95,1,13.12931192,4.370138165,1622.43955
104,mp-1201050,Sm2Nb2S7O30,500,3.261640342,19.00053278,164.097561,208,1243562.917,6334515.17,2.687685901,0.352171327,0.046400952,0.046400952,9500,8,2,1,0.917406,3.3,1,13.70171012,1.322011691,2162.361425
105,mp-1201314,Li8Be6P7O29,500,2.373281816,16.23648,160.84,174,1022701.759,5754564,0.7124,1.0836,0.1344,0.1344,8000,3,3,1,-2.4,2.29,1,12.02775182,0.623315573,2573.764126
106,mp-1201443,Cs3Nb9(TeO8)4,500,4.835179138,17.11070833,180.8125,276,3553009.636,10193710.94,3.984375,0.75,0.1875,0.1875,8500,7,2,1,0.471626,3.3,1,12.86774551,1,2024.695637
107,mp-1201675,Sr2Mn2SeO4,500,4.43070239,14.65,189.5555556,80,802816.1088,2055802.469,2.839506173,0.987654321,0,0,4200,5,2,0,0.048,4.36,2,13.66204397,6.398389259,1124.08532
108,mp-1201849,Nd3Fe5O12,500,5.751051729,16.13559556,178.05,296,2245097.233,9721875,7.71,0.96,0,0,9500,10,2,0,0.151,2.87,2,11.64544944,1,2508.147914
109,mp-1202070,Er2Nb2S7O30,500,3.494798684,19.02318527,163.7560976,184,1456915.869,6334515.17,1.160023795,0.352171327,0.046400952,0.046400952,9500,7,2,1,0.917406,3.3,1,13.63416427,1.306579238,2117.107912
110,mp-1202223,WO3,500,6.507984006,18.1875,168.5,120,6394383.907,7921875,3,0.75,0,0,7000,6,2,0,0.81626,3.16,2,8.876320032,1,1809.807746
