,ID,Name,XG_500,XG_600,XG_700,XG_800,XG_900,XG_1000
1214,mvc-14149,CoO2,2.5419703,2.2613697,2.1139865,1.967646,1.978388,1.6198367
1215,mvc-15643,WO3,1.5163205,1.5263612,1.5270703,1.4035347,1.4612598,1.4612598
1216,mvc-4415,Ta2O5,4.7779813,4.752221,4.7854986,4.605302,4.6553535,4.0678124
1217,mvc-4467,Ca3Ge3(MoO6)2,4.326753,4.3225846,4.3225846,4.3225846,4.0119405,4.0119405
1218,mvc-4795,Mg(MoO2)2,4.877209,4.9268875,4.9268875,4.891734,4.891734,4.891734
1219,mvc-5096,WO3,1.6714666,1.6815073,1.6822164,1.558681,1.6164062,1.6164062
1220,mvc-6001,Ca(MoO2)2,2.0158591,2.0578086,2.066272,2.0704255,2.110309,2.110309
1221,mvc-6611,SnO2,4.301348,4.301348,4.301348,4.301348,4.301348,4.301348
1222,mvc-6622,Mg(CuO2)2,4.3213587,4.3213587,4.3213587,4.3213587,4.200357,4.2683787
1223,mvc-8002,Zn2Co3O8,1.5024385,1.3775959,1.2965825,1.0183237,1.0290666,1.0290666
1224,mvc-8003,Mn3Zn2O8,4.8519645,4.7649584,4.4662356,4.232513,4.2692723,3.8857498
1225,mvc-9921,MgCr2O4,4.964507,5.166567,5.051121,4.470434,4.6790857,4.7214303
1226,mvc-9963,V2ZnO4,2.1190386,2.0264559,2.044652,2.090013,1.8854085,1.7659885
